GID,alea_argile
410003281,fort
410003282,fort
410003622,fort
410003623,fort
410003624,fort
410003625,fort
410003626,fort
410003627,fort
410003628,fort
410003629,fort
410003630,nul
410003631,fort
410003632,fort
410003633,fort
410003634,fort
410003635,fort
410003636,fort
410003637,fort
410003998,fort
410003999,fort
410004000,fort
410004001,fort
410004002,fort
410004003,fort
410004004,fort
410004005,fort
410004006,fort
410004007,fort
410004008,fort
410004009,fort
410004010,fort
410004011,fort
410004013,fort
410004014,fort
410004015,fort
410004016,fort
410004019,fort
410004020,fort
410004446,fort
410004447,fort
410004448,fort
410004449,fort
410004450,fort
410004452,fort
410004453,fort
410004455,fort
410004458,fort
410004460,fort
410004462,fort
410004463,fort
410004467,fort
410004472,fort
410004474,fort
410004479,fort
410004480,fort
410004481,fort
410004483,fort
410003283,fort
410003284,fort
410003285,fort
410003286,fort
410003287,fort
410003288,fort
416503129,nul
410003297,fort
410003298,fort
410003299,fort
410003300,fort
410003302,fort
410003304,fort
410003305,fort
410003307,nul
410003308,fort
410003309,fort
410003310,fort
410003638,fort
410003639,fort
410003640,fort
410003641,fort
410003643,fort
410003644,nul
410003645,fort
410003646,fort
410003647,fort
410003648,fort
410003649,fort
410003650,nul
410003651,nul
410003652,nul
410003655,fort
410003658,nul
410003659,nul
410003661,nul
410003663,nul
410825506,moyen
410825507,moyen
410825508,moyen
410825509,moyen
410825510,moyen
410004029,fort
410004030,fort
410004036,fort
410004037,fort
410004039,fort
410004046,fort
410004047,fort
410004048,fort
410004052,fort
410004484,fort
410004486,fort
410004487,fort
410004489,fort
410004492,fort
410004494,fort
410004496,fort
410004497,fort
410004498,fort
410004499,fort
410004500,fort
410004503,fort
410004505,fort
410004506,fort
410004507,fort
410004510,fort
410004514,fort
410004515,fort
410003311,fort
410003313,fort
410003314,fort
410003315,fort
410003316,fort
410003317,fort
410003318,fort
410003319,fort
410003320,fort
410003321,fort
410003322,fort
410003323,fort
410003324,fort
410003325,fort
410003326,fort
410003327,fort
410003665,nul
410003666,nul
410003667,nul
